episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/grad_wait_time_ms,timers/apply_grad_time_ms,timers/apply_grad_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/allreduce_latency,info/learner/grad_gnorm,info/learner/policy_entropy,info/learner/policy_loss,info/learner/vf_loss
9.0,0.0,2.625,847.375,8,1,9630,0,False,48,11,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-18,1636786218,5.07132363319397,51.145445823669434,16491,werikcyano,192.168.1.8,51.145445823669434,0,11,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520]",135.959,5.49,5464.962,9.6,9630,9630,52.971428571428575,51.48571428571428,0.0,175.84048,0.0002062179846689105,-0.0,3.8208630084991455
9.0,0.0,2.5961538461538463,843.7115384615385,4,1,10560,0,False,52,12,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-23,1636786223,5.080939531326294,56.22638535499573,16491,werikcyano,192.168.1.8,56.22638535499573,0,12,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520, 521, 525, 1636, 517]",142.479,6.011,4990.724,14.172,10560,10560,59.24285714285715,51.442857142857136,0.0,5.242813,0.0038244586903601885,2.4250530259450898e-06,0.0031182754319161177
9.0,0.0,2.4827586206896552,829.6206896551724,6,1,11520,0,False,58,13,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-28,1636786228,4.985531806945801,61.21191716194153,16491,werikcyano,192.168.1.8,61.21191716194153,0,13,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520, 521, 525, 1636, 517, 519, 1628, 527, 525, 519, 527]",136.551,4.961,6046.831,10.925,11520,11520,55.22857142857142,51.442857142857136,0.0,27.022724,0.03085978329181671,-0.00020491887698881328,0.06796956062316895
9.0,0.0,2.6129032258064515,851.4193548387096,4,1,12540,0,False,62,14,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-33,1636786233,5.040517091751099,66.25243425369263,16491,werikcyano,192.168.1.8,66.25243425369263,0,14,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 9.0, 5.0, 2.0, 2.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520, 521, 525, 1636, 517, 519, 1628, 527, 525, 519, 527, 1644, 1410, 815, 801]",134.342,4.819,6225.312,9.271,12540,12540,52.94285714285714,51.44285714285714,0.0,102.34049,2.010762170223471e-21,-0.0,0.11716873943805695
9.0,0.0,2.5588235294117645,847.1764705882352,6,1,13530,0,False,68,15,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-38,1636786238,4.990880012512207,71.24331426620483,16491,werikcyano,192.168.1.8,71.24331426620483,0,15,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 9.0, 5.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520, 521, 525, 1636, 517, 519, 1628, 527, 525, 519, 527, 1644, 1410, 815, 801, 801, 792, 813, 792, 803, 819]",136.314,5.217,5750.453,8.446,13530,13530,51.162499999999994,51.4375,0.0,429.4247,6.060858065426444e-11,-0.0,3.693211078643799
9.0,0.0,2.5205479452054793,844.013698630137,5,1,14520,0,False,73,16,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-43,1636786243,5.009003162384033,76.25231742858887,16491,werikcyano,192.168.1.8,76.25231742858887,0,16,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 9.0, 5.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520, 521, 525, 1636, 517, 519, 1628, 527, 525, 519, 527, 1644, 1410, 815, 801, 801, 792, 813, 792, 803, 819, 796, 792, 796, 819, 802]",143.268,5.172,5800.769,8.252,14520,14520,52.24285714285715,51.4,0.0,326.67343,1.9927111338802206e-07,-0.0,3.767681360244751
9.0,0.0,2.481012658227848,841.1645569620254,6,1,15540,0,False,79,17,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-49,1636786249,5.106707334518433,81.3590247631073,16491,werikcyano,192.168.1.8,81.3590247631073,0,17,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 9.0, 5.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520, 521, 525, 1636, 517, 519, 1628, 527, 525, 519, 527, 1644, 1410, 815, 801, 801, 792, 813, 792, 803, 819, 796, 792, 796, 819, 802, 802, 798, 808, 819, 815, 797]",137.112,5.024,5971.9,9.445,15540,15540,51.75714285714285,51.37142857142857,0.0,150.71277,3.0149269605317386e-06,-0.0,2.000485420227051
9.0,0.0,2.447058823529412,838.5058823529412,6,1,16500,0,False,85,18,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-54,1636786254,5.079800367355347,86.43882513046265,16491,werikcyano,192.168.1.8,86.43882513046265,0,18,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 9.0, 5.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520, 521, 525, 1636, 517, 519, 1628, 527, 525, 519, 527, 1644, 1410, 815, 801, 801, 792, 813, 792, 803, 819, 796, 792, 796, 819, 802, 802, 798, 808, 819, 815, 797, 815, 805, 791, 804, 816, 790]",150.338,5.13,5847.893,12.103,16500,16500,52.84285714285715,51.47142857142857,0.0,15.224475,0.0002859749074559659,-0.0,0.018459582701325417
9.0,0.0,2.4318181818181817,837.2272727272727,3,1,17370,0,False,88,19,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-50-59,1636786259,5.006852626800537,91.44567775726318,16491,werikcyano,192.168.1.8,91.44567775726318,0,19,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 9.0, 5.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520, 521, 525, 1636, 517, 519, 1628, 527, 525, 519, 527, 1644, 1410, 815, 801, 801, 792, 813, 792, 803, 819, 796, 792, 796, 819, 802, 802, 798, 808, 819, 815, 797, 815, 805, 791, 804, 816, 790, 804, 791, 808]",154.159,5.548,5407.423,11.668,17370,17370,65.3375,51.5125,0.0,153.59547,0.0012612997088581324,1.3880634469387587e-05,2.56907057762146
9.0,0.0,2.404255319148936,835.1170212765958,6,1,18390,0,False,94,20,1a9ffbb7c65b4b51a995b5b5a0f9e418,2021-11-13_03-51-04,1636786264,5.075578212738037,96.52125597000122,16491,werikcyano,192.168.1.8,96.52125597000122,0,20,d0fac_00000,"[0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 9.0, 9.0, 9.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.0, 0.0, 9.0, 0.0, 0.0, 0.0, 0.0, 9.0, 5.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[533, 517, 535, 527, 1620, 520, 1632, 523, 520, 525, 532, 519, 1628, 1636, 1644, 1616, 523, 1628, 533, 517, 523, 523, 525, 1624, 537, 1640, 527, 1628, 515, 1624, 537, 525, 1624, 533, 520, 524, 1640, 543, 516, 533, 1624, 519, 529, 531, 521, 525, 516, 520, 521, 525, 1636, 517, 519, 1628, 527, 525, 519, 527, 1644, 1410, 815, 801, 801, 792, 813, 792, 803, 819, 796, 792, 796, 819, 802, 802, 798, 808, 819, 815, 797, 815, 805, 791, 804, 816, 790, 804, 791, 808, 809, 800, 798, 793, 811, 814]",133.55,4.956,6053.697,9.513,18390,18390,51.471428571428575,51.52857142857143,0.0,4.368045,0.010498132556676865,-7.041697244858369e-06,0.0031471375841647387
